fh_operacion,hm_hora,im_transaccion,credPrea
10/10/17,55808,798.85,399.425
11/09/17,65100,798.85,399.425
17/08/17,113206,449,224.5
20/12/17,103059,10.53,5.265
20/10/17,82528,5130.4,2565.2
10/08/17,73122,798.85,399.425
18/09/17,115229,249,124.5
11/12/17,83048,798.85,399.425
10/11/17,70426,798.85,399.425
14/10/17,184841,2193,1096.5
09/12/17,133633,181.9,90.95
19/11/17,190716,881.82,440.91
31/12/17,160836,549,274.5
31/08/17,182656,192,96
31/12/17,141659,1620,810
22/10/17,144401,848.38,424.19
16/11/17,182958,97.75,48.875
29/08/17,124848,728.18,364.09
30/10/17,111624,165,82.5
21/11/17,151314,184.37,92.185
27/10/17,131607,187,93.5
01/12/17,140714,744,372
08/12/17,160600,496,248
13/11/17,141841,423,211.5
22/10/17,200629,1293.6,646.8
06/11/17,125106,2300.17,1150.085
13/12/17,185641,520,260
13/08/17,191641,360,180
13/12/17,194343,690,345
13/11/17,203023,690,345
13/11/17,203023,274,137
19/10/17,144113,274,137
19/10/17,144113,690,345
12/09/17,191759,752,376
13/08/17,191641,274,137
13/08/17,190526,460,230
13/12/17,194343,274,137
12/09/17,191759,274,137
12/10/17,182658,460,230
10/11/17,80835,62,31
12/09/17,131400,62,31
10/11/17,122737,62,31
06/12/17,90031,62,31
08/09/17,114115,2229,1114.5
17/10/17,71223,62,31
12/09/17,73155,62,31
01/10/17,122628,62,31
24/12/17,90602,62,31
22/12/17,163938,62,31
18/12/17,131508,62,31
24/12/17,140020,62,31
29/12/17,152233,62,31
18/12/17,65643,62,31
29/12/17,115552,62,31
31/08/17,121424,62,31
22/11/17,113441,1255.5,627.75
22/12/17,112411,62,31
06/12/17,133651,62,31
17/10/17,111203,62,31
14/11/17,223953,1409,704.5
31/08/17,74944,62,31
01/10/17,84548,62,31
04/12/17,173832,345,172.5
14/11/17,90038,50.43,25.215
14/11/17,85942,50.43,25.215
14/12/17,82926,50.43,25.215
14/08/17,75127,50.43,25.215
16/10/17,70605,50.43,25.215
14/09/17,73437,50.43,25.215
14/08/17,74818,50.43,25.215
14/12/17,82702,50.43,25.215
14/09/17,73506,50.43,25.215
16/10/17,70511,50.43,25.215
10/08/17,111606,73,36.5
05/08/17,121441,2214,1107
16/09/17,163112,769.99,384.995
21/10/17,144438,359.29,179.645
05/08/17,124929,861.39,430.695
21/10/17,113059,1143,571.5
10/08/17,115142,1084,542
29/10/17,151452,312,156
29/10/17,171850,548,274
05/08/17,161053,767,383.5
12/11/17,154434,280,140
26/11/17,141109,1090.62,545.31
29/10/17,135508,180,90
26/12/17,64125,50,25
29/10/17,133848,211,105.5
18/09/17,104917,549.99,274.995
23/10/17,63804,50,25
12/09/17,234649,1099,549.5
19/11/17,124007,5011,2505.5
06/11/17,73246,300,150
16/09/17,225058,928.99,464.495
26/09/17,70626,50,25
20/11/17,185427,1838,919
23/08/17,64234,50,25
19/08/17,161421,1520.2,760.1
14/11/17,185032,326,163
19/08/17,133841,68,34
23/11/17,74034,50,25
18/09/17,104917,379,189.5
13/09/17,62218,12,6
13/09/17,63601,20505,10252.5
12/09/17,82356,1026.3,513.15
11/11/17,151056,3449.33,1724.665
10/11/17,143619,569,284.5
13/09/17,63142,12,6
26/08/17,125914,770,385
26/08/17,120041,337.03,168.515
12/09/17,83333,104.1,52.05
13/12/17,83020,104.1,52.05
13/11/17,74629,104.1,52.05
13/11/17,74610,50,25
13/12/17,81418,50,25
12/10/17,63639,50,25
13/11/17,75844,135.66,67.83
21/12/17,81107,104.1,52.05
11/08/17,71721,50,25
21/09/17,80315,104.1,52.05
12/09/17,83543,50,25
14/08/17,80020,135.66,67.83
12/10/17,85740,135.66,67.83
14/08/17,75610,159.62,79.81
21/08/17,63743,190.03,95.015
02/12/17,215817,74.48,37.24
17/12/17,114316,399,199.5
25/11/17,185753,38.83,19.415
23/11/17,92251,20,10
27/11/17,81158,474.26,237.13
17/10/17,104733,400,200
13/11/17,81834,159.62,79.81
14/08/17,75253,159.62,79.81
12/08/17,82449,1090,545
10/08/17,165315,99,49.5
23/10/17,102316,57.2,28.6
12/08/17,82246,72.32,36.16
10/08/17,101510,42.52,21.26
28/08/17,81357,474.26,237.13
14/08/17,154913,1899,949.5
03/09/17,100342,534.9,267.45
04/09/17,165018,496,248
17/09/17,123121,405,202.5
17/08/17,165158,329.9,164.95
12/09/17,84750,159.62,79.81
07/10/17,60411,48,24
13/11/17,82140,159.62,79.81
17/08/17,92634,64.91,32.455
19/09/17,144413,107.4,53.7
17/08/17,105338,399.43,199.715
01/09/17,14833,12,6
28/09/17,142559,90.68,45.34
04/09/17,161040,1316,658
19/09/17,153655,114.27,57.135
17/08/17,105512,159,79.5
04/09/17,212335,397,198.5
21/09/17,103540,36.24,18.12
04/09/17,153658,1066,533
10/10/17,165324,99,49.5
10/09/17,144157,38,19
12/09/17,84944,159.62,79.81
26/10/17,152557,179.32,89.66
12/10/17,85230,159.62,79.81
10/09/17,165349,99,49.5
09/10/17,144326,1030.5,515.25
10/09/17,144214,19,9.5
17/11/17,101612,159,79.5
17/08/17,145924,688.4,344.2
17/10/17,100225,159,79.5
03/10/17,75947,123.63,61.815
25/09/17,75540,119.22,59.61
19/10/17,163204,190.03,95.015
17/09/17,114436,159,79.5
05/12/17,200835,89.82,44.91
23/09/17,130915,249,124.5
13/11/17,172734,124.02,62.01
30/09/17,163406,651.86,325.93
15/12/17,81856,159.62,79.81
12/11/17,201835,102.86,51.43
19/11/17,112806,399,199.5
27/09/17,62622,474.26,237.13
27/10/17,124019,474.26,237.13
21/11/17,90155,190.03,95.015
16/12/17,162510,83.77,41.885
12/11/17,195412,100.02,50.01
19/12/17,75012,190.03,95.015
27/09/17,94135,221.01,110.505
12/10/17,85510,159.62,79.81
19/09/17,74018,190.03,95.015
25/11/17,224331,101.1,50.55
23/11/17,222730,97.9,48.95
17/12/17,133513,94.38,47.19
11/09/17,95559,40.31,20.155
17/12/17,135728,109.94,54.97
15/12/17,81815,159.62,79.81
10/11/17,165418,99,49.5
13/11/17,200642,106.75,53.375
17/12/17,105817,199,99.5
27/12/17,83021,474.26,237.13
10/11/17,70224,70,35
10/08/17,75736,70,35
26/08/17,125613,487,243.5
11/12/17,80015,70,35
11/09/17,63917,70,35
10/10/17,54252,70,35
27/12/17,165537,29950,14975
24/10/17,164805,200,100
18/08/17,115053,252,126
18/09/17,103208,351.64,175.82
09/11/17,93236,821,410.5
27/10/17,164203,154,77
28/09/17,122756,75,37.5
01/11/17,170711,382.08,191.04
11/08/17,235442,75,37.5
13/12/17,213715,911,455.5
26/08/17,224520,75,37.5
09/08/17,105454,821,410.5
09/10/17,120344,821,410.5
11/09/17,122549,821,410.5
22/12/17,135344,75,37.5
17/08/17,191402,75,37.5
05/12/17,230334,7474.11,3737.055
14/08/17,143103,5975,2987.5
17/09/17,141812,75,37.5
03/09/17,165004,194,97
23/12/17,190345,28500,14250
28/09/17,230549,75,37.5
12/09/17,114802,1510,755
14/08/17,144018,21877.89,10938.945
22/08/17,120542,2005.51,1002.755
28/08/17,131539,75,37.5
08/08/17,132747,10554.24,5277.12
20/09/17,101308,1115.27,557.635
12/08/17,30533,286,143
07/08/17,103559,119,59.5
19/11/17,142717,174.87,87.435
18/09/17,20804,150,75
20/08/17,104917,170,85
21/11/17,83046,150,75
27/08/17,130623,138,69
19/11/17,124136,1015.7,507.85
22/08/17,112424,202.11,101.055
12/09/17,132832,649,324.5
02/08/17,123001,595.92,297.96
06/12/17,82309,119,59.5
06/09/17,62938,119,59.5
08/09/17,121928,189,94.5
07/11/17,101528,119,59.5
19/08/17,130443,214.73,107.365
06/10/17,54704,119,59.5
30/11/17,92007,526.98,263.49
20/12/17,102457,404.96,202.48
02/10/17,93728,526.98,263.49
31/10/17,91429,526.98,263.49
31/08/17,91623,526.98,263.49
17/10/17,105748,210.94,105.47
17/08/17,114123,200.19,100.095
17/11/17,103447,207.36,103.68
18/09/17,115645,207.36,103.68
06/09/17,151854,692,346
06/12/17,143545,730.6,365.3
18/09/17,115510,330.79,165.395
06/11/17,154301,730.6,365.3
06/10/17,164613,730.6,365.3
